1, private, far_end:amethyst_forest, MONSTER, minecraft:enderman, 33, 4, 4
85, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:enderman, 10, 1, 4
86, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:witch, 5, 1, 1
87, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:pig, 5, 1, 2
88, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:rabbit, 5, 2, 6
89, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:sheep, 5, 2, 4
90, extreme_hills, minecraft:cherry_grove, AMBIENT, minecraft:bat, 10, 8, 8
91, extreme_hills, minecraft:cherry_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
92, ocean, minecraft:cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
93, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
94, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
95, ocean, minecraft:cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
96, ocean, minecraft:cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
97, ocean, minecraft:cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
98, ocean, minecraft:cold_ocean, MONSTER, minecraft:enderman, 10, 1, 4
99, ocean, minecraft:cold_ocean, MONSTER, minecraft:witch, 5, 1, 1
100, ocean, minecraft:cold_ocean, MONSTER, minecraft:drowned, 5, 1, 1
101, ocean, minecraft:cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
102, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
103, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
104, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
105, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
106, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
107, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:sight_hunter, 5, 1, 1
108, ocean, minecraft:cold_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
109, ocean, minecraft:cold_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
110, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
111, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
112, nether, minecraft:crimson_forest, MONSTER, minecraft:zombified_piglin, 5, 2, 4
113, nether, minecraft:crimson_forest, MONSTER, minecraft:hoglin, 9, 3, 4
114, nether, minecraft:crimson_forest, MONSTER, minecraft:piglin, 5, 3, 4
115, nether, minecraft:crimson_forest, MONSTER, hwg:technodemon_greater_1, 5, 1, 1
116, nether, minecraft:crimson_forest, MONSTER, hwg:technodemon_lesser_1, 5, 1, 2
117, nether, minecraft:crimson_forest, MONSTER, minecraft:ghast, 3, 4, 4
118, nether, minecraft:crimson_forest, CREATURE, minecraft:strider, 60, 1, 2
119, private, stellarity:crystal_crags, MONSTER, minecraft:enderman, 20, 4, 4
120, private, stellarity:crystal_crags, MONSTER, minecraft:skeleton, 5, 2, 3
121, private, stellarity:crystal_crags, MONSTER, minecraft:silverfish, 5, 1, 2
122, forest, minecraft:dark_forest, MONSTER, minecraft:spider, 80, 4, 4
123, forest, minecraft:dark_forest, MONSTER, minecraft:zombie, 80, 4, 4
124, forest, minecraft:dark_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
125, forest, minecraft:dark_forest, MONSTER, minecraft:skeleton, 80, 4, 4
126, forest, minecraft:dark_forest, MONSTER, minecraft:creeper, 80, 4, 4
127, forest, minecraft:dark_forest, MONSTER, minecraft:slime, 80, 4, 4
128, forest, minecraft:dark_forest, MONSTER, minecraft:enderman, 10, 1, 4
129, forest, minecraft:dark_forest, MONSTER, minecraft:witch, 10, 1, 1
130, forest, minecraft:dark_forest, MONSTER, hwg:merc, 5, 1, 2
131, forest, minecraft:dark_forest, MONSTER, hwg:spy, 5, 1, 2
132, forest, minecraft:dark_forest, CREATURE, minecraft:sheep, 12, 4, 4
133, forest, minecraft:dark_forest, CREATURE, minecraft:pig, 10, 4, 4
134, forest, minecraft:dark_forest, CREATURE, minecraft:chicken, 10, 4, 4
135, forest, minecraft:dark_forest, CREATURE, minecraft:cow, 8, 4, 4
136, forest, minecraft:dark_forest, AMBIENT, minecraft:bat, 10, 8, 8
137, forest, minecraft:dark_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
138, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
139, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
140, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
141, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
142, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
143, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
144, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:enderman, 10, 1, 4
145, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:witch, 5, 1, 1
146, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:drowned, 5, 1, 1
147, ocean, minecraft:deep_cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
148, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
149, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
150, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
151, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
152, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
153, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:sight_hunter, 5, 1, 1
154, ocean, minecraft:deep_cold_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
155, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
156, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
157, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
158, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:spider, 80, 4, 4
159, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:zombie, 80, 4, 4
160, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
161, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:skeleton, 20, 4, 4
162, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:creeper, 80, 4, 4
163, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:slime, 80, 4, 4
164, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:enderman, 10, 1, 4
165, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:witch, 5, 1, 1
166, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:drowned, 5, 1, 1
167, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:stray, 80, 4, 4
168, ocean, minecraft:deep_frozen_ocean, CREATURE, minecraft:polar_bear, 5, 1, 2
169, ocean, minecraft:deep_frozen_ocean, AMBIENT, minecraft:bat, 10, 8, 8
170, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
171, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
172, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
173, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
174, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
175, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:sight_hunter, 5, 1, 1
176, ocean, minecraft:deep_frozen_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
177, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
178, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
179, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:spider, 80, 4, 4
180, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie, 80, 4, 4
181, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
182, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
183, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:creeper, 80, 4, 4
184, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:slime, 80, 4, 4
185, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:enderman, 10, 1, 4
186, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:witch, 5, 1, 1
187, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:drowned, 5, 1, 1
188, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, minecraft:bat, 10, 8, 8
189, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
190, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
191, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
192, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
193, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
194, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:sight_hunter, 5, 1, 1
195, ocean, minecraft:deep_lukewarm_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
196, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:squid, 8, 1, 4
197, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:dolphin, 5, 1, 2
198, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:cod, 8, 3, 6
199, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:pufferfish, 5, 1, 3
200, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
201, ocean, minecraft:deep_ocean, MONSTER, minecraft:spider, 80, 4, 4
202, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie, 80, 4, 4
203, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
204, ocean, minecraft:deep_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
205, ocean, minecraft:deep_ocean, MONSTER, minecraft:creeper, 80, 4, 4
206, ocean, minecraft:deep_ocean, MONSTER, minecraft:slime, 80, 4, 4
207, ocean, minecraft:deep_ocean, MONSTER, minecraft:enderman, 10, 1, 4
208, ocean, minecraft:deep_ocean, MONSTER, minecraft:witch, 5, 1, 1
209, ocean, minecraft:deep_ocean, MONSTER, minecraft:drowned, 5, 1, 1
210, ocean, minecraft:deep_ocean, AMBIENT, minecraft:bat, 10, 8, 8
211, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
212, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
213, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
214, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
215, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
216, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:sight_hunter, 5, 1, 1
217, ocean, minecraft:deep_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
218, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
219, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:dolphin, 5, 1, 2
220, ocean, minecraft:deep_ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
221, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
222, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
223, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 5, 1, 1
224, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
225, desert, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
226, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
227, desert, minecraft:desert, MONSTER, minecraft:enderman, 10, 1, 4
228, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
229, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
230, desert, minecraft:desert, MONSTER, hwg:merc, 5, 1, 2
231, desert, minecraft:desert, MONSTER, hwg:spy, 5, 1, 2
232, desert, minecraft:desert, CREATURE, minecraft:rabbit, 5, 2, 3
233, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
234, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
235, private, stellarity:dragons_den, MONSTER, minecraft:enderman, 10, 4, 4
236, private, minecraft:dripstone_caves, MONSTER, minecraft:spider, 80, 4, 4
237, private, minecraft:dripstone_caves, MONSTER, minecraft:zombie, 80, 4, 4
238, private, minecraft:dripstone_caves, MONSTER, minecraft:zombie_villager, 5, 1, 1
239, private, minecraft:dripstone_caves, MONSTER, minecraft:skeleton, 80, 4, 4
240, private, minecraft:dripstone_caves, MONSTER, minecraft:creeper, 80, 4, 4
241, private, minecraft:dripstone_caves, MONSTER, minecraft:slime, 80, 4, 4
242, private, minecraft:dripstone_caves, MONSTER, minecraft:enderman, 10, 1, 4
243, private, minecraft:dripstone_caves, MONSTER, minecraft:witch, 5, 1, 1
244, private, minecraft:dripstone_caves, MONSTER, minecraft:drowned, 80, 4, 4
245, private, minecraft:dripstone_caves, AMBIENT, minecraft:bat, 10, 8, 8
246, private, minecraft:dripstone_caves, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
247, private, minecraft:end_barrens, MONSTER, minecraft:enderman, 10, 4, 4
248, private, minecraft:end_highlands, MONSTER, minecraft:enderman, 10, 4, 4
249, private, minecraft:end_midlands, MONSTER, minecraft:enderman, 10, 4, 4
250, private, far_end:end_wilds, MONSTER, minecraft:enderman, 10, 4, 4
251, private, far_end:end_wilds, MONSTER, minecraft:skeleton, 10, 3, 3
252, private, far_end:ender_waste, MONSTER, minecraft:enderman, 20, 4, 4
253, private, far_end:ender_waste, MONSTER, minecraft:skeleton, 7, 2, 3
254, badlands, minecraft:eroded_badlands, MONSTER, minecraft:spider, 80, 4, 4
255, badlands, minecraft:eroded_badlands, MONSTER, minecraft:zombie, 19, 4, 4
256, badlands, minecraft:eroded_badlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
257, badlands, minecraft:eroded_badlands, MONSTER, minecraft:skeleton, 80, 4, 4
258, badlands, minecraft:eroded_badlands, MONSTER, minecraft:creeper, 80, 4, 4
259, badlands, minecraft:eroded_badlands, MONSTER, minecraft:slime, 80, 4, 4
260, badlands, minecraft:eroded_badlands, MONSTER, minecraft:enderman, 10, 1, 4
261, badlands, minecraft:eroded_badlands, MONSTER, minecraft:witch, 5, 1, 1
262, badlands, minecraft:eroded_badlands, MONSTER, minecraft:husk, 80, 4, 4
263, badlands, minecraft:eroded_badlands, MONSTER, hwg:merc, 5, 1, 2
264, badlands, minecraft:eroded_badlands, MONSTER, hwg:spy, 5, 1, 2
265, badlands, minecraft:eroded_badlands, AMBIENT, minecraft:bat, 10, 8, 8
266, badlands, minecraft:eroded_badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
267, private, far_end:flesh_tundra, MONSTER, minecraft:cave_spider, 20, 2, 3
268, private, far_end:flesh_tundra, MONSTER, minecraft:zombified_piglin, 42, 4, 4
269, forest, minecraft:flower_forest, MONSTER, minecraft:spider, 80, 4, 4
270, forest, minecraft:flower_forest, MONSTER, minecraft:zombie, 80, 4, 4
271, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
272, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton, 80, 4, 4
273, forest, minecraft:flower_forest, MONSTER, minecraft:creeper, 80, 4, 4
274, forest, minecraft:flower_forest, MONSTER, minecraft:slime, 80, 4, 4
275, forest, minecraft:flower_forest, MONSTER, minecraft:enderman, 10, 1, 4
276, forest, minecraft:flower_forest, MONSTER, minecraft:witch, 5, 1, 1
277, forest, minecraft:flower_forest, MONSTER, hwg:merc, 5, 1, 2
278, forest, minecraft:flower_forest, MONSTER, hwg:spy, 5, 1, 2
279, forest, minecraft:flower_forest, CREATURE, minecraft:sheep, 12, 4, 4
280, forest, minecraft:flower_forest, CREATURE, minecraft:pig, 10, 4, 4
281, forest, minecraft:flower_forest, CREATURE, minecraft:chicken, 10, 4, 4
282, forest, minecraft:flower_forest, CREATURE, minecraft:cow, 8, 4, 4
283, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 5, 2, 3
284, forest, minecraft:flower_forest, AMBIENT, minecraft:bat, 10, 8, 8
285, forest, minecraft:flower_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
286, forest, minecraft:forest, MONSTER, minecraft:spider, 80, 4, 4
287, forest, minecraft:forest, MONSTER, minecraft:zombie, 80, 4, 4
288, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
289, forest, minecraft:forest, MONSTER, minecraft:skeleton, 80, 4, 4
290, forest, minecraft:forest, MONSTER, minecraft:creeper, 80, 4, 4
291, forest, minecraft:forest, MONSTER, minecraft:slime, 80, 4, 4
292, forest, minecraft:forest, MONSTER, minecraft:enderman, 10, 1, 4
293, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
294, forest, minecraft:forest, MONSTER, hwg:merc, 5, 1, 2
295, forest, minecraft:forest, MONSTER, hwg:spy, 5, 1, 2
296, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
297, forest, minecraft:forest, CREATURE, minecraft:pig, 10, 4, 4
298, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
299, forest, minecraft:forest, CREATURE, minecraft:cow, 8, 4, 4
300, forest, minecraft:forest, CREATURE, minecraft:wolf, 5, 4, 4
301, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
302, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
303, private, stellarity:frosted_hills, MONSTER, minecraft:enderman, 10, 4, 4
304, private, stellarity:frosted_hills, MONSTER, minecraft:skeleton, 20, 3, 4
305, ocean, minecraft:frozen_ocean, MONSTER, minecraft:spider, 80, 4, 4
306, ocean, minecraft:frozen_ocean, MONSTER, minecraft:zombie, 80, 4, 4
307, ocean, minecraft:frozen_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
308, ocean, minecraft:frozen_ocean, MONSTER, minecraft:skeleton, 20, 4, 4
309, ocean, minecraft:frozen_ocean, MONSTER, minecraft:creeper, 80, 4, 4
310, ocean, minecraft:frozen_ocean, MONSTER, minecraft:slime, 80, 4, 4
311, ocean, minecraft:frozen_ocean, MONSTER, minecraft:enderman, 10, 1, 4
312, ocean, minecraft:frozen_ocean, MONSTER, minecraft:witch, 5, 1, 1
313, ocean, minecraft:frozen_ocean, MONSTER, minecraft:drowned, 5, 1, 1
314, ocean, minecraft:frozen_ocean, MONSTER, minecraft:stray, 80, 4, 4
315, ocean, minecraft:frozen_ocean, CREATURE, minecraft:polar_bear, 5, 1, 2
316, ocean, minecraft:frozen_ocean, AMBIENT, minecraft:bat, 10, 8, 8
317, ocean, minecraft:frozen_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
318, ocean, minecraft:frozen_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
319, ocean, minecraft:frozen_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
320, ocean, minecraft:frozen_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
321, ocean, minecraft:frozen_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
322, ocean, minecraft:frozen_ocean, AMBIENT, darkwaters:sight_hunter, 5, 1, 1
