1, private, far_end:amethyst_forest, MONSTER, minecraft:enderman, 33, 4, 4
85, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:witch, 5, 1, 1
86, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:pig, 5, 1, 2
87, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:rabbit, 5, 2, 6
88, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:sheep, 5, 2, 4
89, extreme_hills, minecraft:cherry_grove, AMBIENT, minecraft:bat, 10, 8, 8
90, extreme_hills, minecraft:cherry_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
91, ocean, minecraft:cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
92, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
93, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
94, ocean, minecraft:cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
95, ocean, minecraft:cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
96, ocean, minecraft:cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
97, ocean, minecraft:cold_ocean, MONSTER, minecraft:enderman, 10, 1, 4
98, ocean, minecraft:cold_ocean, MONSTER, minecraft:witch, 5, 1, 1
99, ocean, minecraft:cold_ocean, MONSTER, minecraft:drowned, 5, 1, 1
100, ocean, minecraft:cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
101, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
102, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
103, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
104, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
105, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
106, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:sight_hunter, 5, 1, 1
107, ocean, minecraft:cold_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
108, ocean, minecraft:cold_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
109, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
110, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
111, nether, minecraft:crimson_forest, MONSTER, minecraft:zombified_piglin, 5, 2, 4
112, nether, minecraft:crimson_forest, MONSTER, minecraft:hoglin, 9, 3, 4
113, nether, minecraft:crimson_forest, MONSTER, minecraft:piglin, 5, 3, 4
114, nether, minecraft:crimson_forest, MONSTER, hwg:technodemon_greater_1, 5, 1, 1
115, nether, minecraft:crimson_forest, MONSTER, hwg:technodemon_lesser_1, 5, 1, 2
116, nether, minecraft:crimson_forest, MONSTER, minecraft:ghast, 3, 4, 4
117, nether, minecraft:crimson_forest, CREATURE, minecraft:strider, 60, 1, 2
118, private, stellarity:crystal_crags, MONSTER, minecraft:enderman, 20, 4, 4
119, private, stellarity:crystal_crags, MONSTER, minecraft:skeleton, 5, 2, 3
120, private, stellarity:crystal_crags, MONSTER, minecraft:silverfish, 5, 1, 2
121, forest, minecraft:dark_forest, MONSTER, minecraft:spider, 80, 4, 4
122, forest, minecraft:dark_forest, MONSTER, minecraft:zombie, 80, 4, 4
123, forest, minecraft:dark_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
124, forest, minecraft:dark_forest, MONSTER, minecraft:skeleton, 80, 4, 4
125, forest, minecraft:dark_forest, MONSTER, minecraft:creeper, 80, 4, 4
126, forest, minecraft:dark_forest, MONSTER, minecraft:slime, 80, 4, 4
127, forest, minecraft:dark_forest, MONSTER, minecraft:enderman, 10, 1, 4
128, forest, minecraft:dark_forest, MONSTER, minecraft:witch, 10, 1, 1
129, forest, minecraft:dark_forest, MONSTER, hwg:merc, 5, 1, 2
130, forest, minecraft:dark_forest, MONSTER, hwg:spy, 5, 1, 2
131, forest, minecraft:dark_forest, CREATURE, minecraft:sheep, 12, 4, 4
132, forest, minecraft:dark_forest, CREATURE, minecraft:pig, 10, 4, 4
133, forest, minecraft:dark_forest, CREATURE, minecraft:chicken, 10, 4, 4
134, forest, minecraft:dark_forest, CREATURE, minecraft:cow, 8, 4, 4
135, forest, minecraft:dark_forest, AMBIENT, minecraft:bat, 10, 8, 8
136, forest, minecraft:dark_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
137, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
138, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
139, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
140, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
141, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
142, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
143, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:enderman, 10, 1, 4
144, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:witch, 5, 1, 1
145, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:drowned, 5, 1, 1
146, ocean, minecraft:deep_cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
147, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
148, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
149, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
150, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
151, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
152, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:sight_hunter, 5, 1, 1
153, ocean, minecraft:deep_cold_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
154, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
155, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
156, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
157, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:spider, 80, 4, 4
158, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:zombie, 80, 4, 4
159, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
160, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:skeleton, 20, 4, 4
161, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:creeper, 80, 4, 4
162, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:slime, 80, 4, 4
163, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:enderman, 10, 1, 4
164, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:witch, 5, 1, 1
165, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:drowned, 5, 1, 1
166, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:stray, 80, 4, 4
167, ocean, minecraft:deep_frozen_ocean, CREATURE, minecraft:polar_bear, 5, 1, 2
168, ocean, minecraft:deep_frozen_ocean, AMBIENT, minecraft:bat, 10, 8, 8
169, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
170, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
171, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
172, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
173, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
174, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:sight_hunter, 5, 1, 1
175, ocean, minecraft:deep_frozen_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
176, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
177, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
178, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:spider, 80, 4, 4
179, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie, 80, 4, 4
180, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
181, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
182, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:creeper, 80, 4, 4
183, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:slime, 80, 4, 4
184, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:enderman, 10, 1, 4
185, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:witch, 5, 1, 1
186, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:drowned, 5, 1, 1
187, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, minecraft:bat, 10, 8, 8
188, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
189, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
190, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
191, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
192, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
193, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:sight_hunter, 5, 1, 1
194, ocean, minecraft:deep_lukewarm_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
195, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:squid, 8, 1, 4
196, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:dolphin, 5, 1, 2
197, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:cod, 8, 3, 6
198, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:pufferfish, 5, 1, 3
199, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
200, ocean, minecraft:deep_ocean, MONSTER, minecraft:spider, 80, 4, 4
201, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie, 80, 4, 4
202, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
203, ocean, minecraft:deep_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
204, ocean, minecraft:deep_ocean, MONSTER, minecraft:creeper, 80, 4, 4
205, ocean, minecraft:deep_ocean, MONSTER, minecraft:slime, 80, 4, 4
206, ocean, minecraft:deep_ocean, MONSTER, minecraft:enderman, 10, 1, 4
207, ocean, minecraft:deep_ocean, MONSTER, minecraft:witch, 5, 1, 1
208, ocean, minecraft:deep_ocean, MONSTER, minecraft:drowned, 5, 1, 1
209, ocean, minecraft:deep_ocean, AMBIENT, minecraft:bat, 10, 8, 8
210, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
211, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
212, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
213, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
214, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
215, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:sight_hunter, 5, 1, 1
216, ocean, minecraft:deep_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
217, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
218, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:dolphin, 5, 1, 2
219, ocean, minecraft:deep_ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
220, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
221, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
222, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 5, 1, 1
223, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
224, desert, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
225, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
226, desert, minecraft:desert, MONSTER, minecraft:enderman, 10, 1, 4
227, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
228, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
229, desert, minecraft:desert, MONSTER, hwg:merc, 5, 1, 2
230, desert, minecraft:desert, MONSTER, hwg:spy, 5, 1, 2
231, desert, minecraft:desert, CREATURE, minecraft:rabbit, 5, 2, 3
232, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
233, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
234, private, stellarity:dragons_den, MONSTER, minecraft:enderman, 10, 4, 4
235, private, minecraft:dripstone_caves, MONSTER, minecraft:spider, 80, 4, 4
236, private, minecraft:dripstone_caves, MONSTER, minecraft:zombie, 80, 4, 4
237, private, minecraft:dripstone_caves, MONSTER, minecraft:zombie_villager, 5, 1, 1
238, private, minecraft:dripstone_caves, MONSTER, minecraft:skeleton, 80, 4, 4
239, private, minecraft:dripstone_caves, MONSTER, minecraft:creeper, 80, 4, 4
240, private, minecraft:dripstone_caves, MONSTER, minecraft:slime, 80, 4, 4
241, private, minecraft:dripstone_caves, MONSTER, minecraft:enderman, 10, 1, 4
242, private, minecraft:dripstone_caves, MONSTER, minecraft:witch, 5, 1, 1
243, private, minecraft:dripstone_caves, MONSTER, minecraft:drowned, 80, 4, 4
244, private, minecraft:dripstone_caves, AMBIENT, minecraft:bat, 10, 8, 8
245, private, minecraft:dripstone_caves, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
246, private, minecraft:end_barrens, MONSTER, minecraft:silverfish, 40, 4, 4
247, private, minecraft:end_barrens, MONSTER, minecraft:enderman, 30, 4, 4
248, private, minecraft:end_highlands, MONSTER, minecraft:enderman, 17, 3, 3
249, private, minecraft:end_highlands, MONSTER, minecraft:hoglin, 8, 3, 3
250, private, minecraft:end_midlands, MONSTER, minecraft:enderman, 10, 3, 3
251, private, far_end:end_wilds, MONSTER, minecraft:enderman, 10, 4, 4
252, private, far_end:end_wilds, MONSTER, minecraft:skeleton, 10, 3, 3
253, private, far_end:ender_waste, MONSTER, minecraft:enderman, 20, 4, 4
254, private, far_end:ender_waste, MONSTER, minecraft:skeleton, 7, 2, 3
255, badlands, minecraft:eroded_badlands, MONSTER, minecraft:spider, 80, 4, 4
256, badlands, minecraft:eroded_badlands, MONSTER, minecraft:zombie, 19, 4, 4
257, badlands, minecraft:eroded_badlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
258, badlands, minecraft:eroded_badlands, MONSTER, minecraft:skeleton, 80, 4, 4
259, badlands, minecraft:eroded_badlands, MONSTER, minecraft:creeper, 80, 4, 4
260, badlands, minecraft:eroded_badlands, MONSTER, minecraft:slime, 80, 4, 4
261, badlands, minecraft:eroded_badlands, MONSTER, minecraft:enderman, 10, 1, 4
262, badlands, minecraft:eroded_badlands, MONSTER, minecraft:witch, 5, 1, 1
263, badlands, minecraft:eroded_badlands, MONSTER, minecraft:husk, 80, 4, 4
264, badlands, minecraft:eroded_badlands, MONSTER, hwg:merc, 5, 1, 2
265, badlands, minecraft:eroded_badlands, MONSTER, hwg:spy, 5, 1, 2
266, badlands, minecraft:eroded_badlands, AMBIENT, minecraft:bat, 10, 8, 8
267, badlands, minecraft:eroded_badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
268, private, far_end:flesh_tundra, MONSTER, minecraft:cave_spider, 20, 2, 3
269, private, far_end:flesh_tundra, MONSTER, minecraft:zombified_piglin, 42, 4, 4
270, forest, minecraft:flower_forest, MONSTER, minecraft:spider, 80, 4, 4
271, forest, minecraft:flower_forest, MONSTER, minecraft:zombie, 80, 4, 4
272, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
273, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton, 80, 4, 4
274, forest, minecraft:flower_forest, MONSTER, minecraft:creeper, 80, 4, 4
275, forest, minecraft:flower_forest, MONSTER, minecraft:slime, 80, 4, 4
276, forest, minecraft:flower_forest, MONSTER, minecraft:enderman, 10, 1, 4
277, forest, minecraft:flower_forest, MONSTER, minecraft:witch, 5, 1, 1
278, forest, minecraft:flower_forest, MONSTER, hwg:merc, 5, 1, 2
279, forest, minecraft:flower_forest, MONSTER, hwg:spy, 5, 1, 2
280, forest, minecraft:flower_forest, CREATURE, minecraft:sheep, 12, 4, 4
281, forest, minecraft:flower_forest, CREATURE, minecraft:pig, 10, 4, 4
282, forest, minecraft:flower_forest, CREATURE, minecraft:chicken, 10, 4, 4
283, forest, minecraft:flower_forest, CREATURE, minecraft:cow, 8, 4, 4
284, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 5, 2, 3
285, forest, minecraft:flower_forest, AMBIENT, minecraft:bat, 10, 8, 8
286, forest, minecraft:flower_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
287, forest, minecraft:forest, MONSTER, minecraft:spider, 80, 4, 4
288, forest, minecraft:forest, MONSTER, minecraft:zombie, 80, 4, 4
289, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
290, forest, minecraft:forest, MONSTER, minecraft:skeleton, 80, 4, 4
291, forest, minecraft:forest, MONSTER, minecraft:creeper, 80, 4, 4
292, forest, minecraft:forest, MONSTER, minecraft:slime, 80, 4, 4
293, forest, minecraft:forest, MONSTER, minecraft:enderman, 10, 1, 4
294, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
295, forest, minecraft:forest, MONSTER, hwg:merc, 5, 1, 2
296, forest, minecraft:forest, MONSTER, hwg:spy, 5, 1, 2
297, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
298, forest, minecraft:forest, CREATURE, minecraft:pig, 10, 4, 4
299, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
300, forest, minecraft:forest, CREATURE, minecraft:cow, 8, 4, 4
301, forest, minecraft:forest, CREATURE, minecraft:wolf, 5, 4, 4
302, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
303, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
304, private, stellarity:frosted_hills, MONSTER, minecraft:enderman, 10, 4, 4
305, private, stellarity:frosted_hills, MONSTER, minecraft:skeleton, 20, 3, 4
306, ocean, minecraft:frozen_ocean, MONSTER, minecraft:spider, 80, 4, 4
307, ocean, minecraft:frozen_ocean, MONSTER, minecraft:zombie, 80, 4, 4
308, ocean, minecraft:frozen_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
309, ocean, minecraft:frozen_ocean, MONSTER, minecraft:skeleton, 20, 4, 4
310, ocean, minecraft:frozen_ocean, MONSTER, minecraft:creeper, 80, 4, 4
311, ocean, minecraft:frozen_ocean, MONSTER, minecraft:slime, 80, 4, 4
312, ocean, minecraft:frozen_ocean, MONSTER, minecraft:enderman, 10, 1, 4
313, ocean, minecraft:frozen_ocean, MONSTER, minecraft:witch, 5, 1, 1
314, ocean, minecraft:frozen_ocean, MONSTER, minecraft:drowned, 5, 1, 1
315, ocean, minecraft:frozen_ocean, MONSTER, minecraft:stray, 80, 4, 4
316, ocean, minecraft:frozen_ocean, CREATURE, minecraft:polar_bear, 5, 1, 2
317, ocean, minecraft:frozen_ocean, AMBIENT, minecraft:bat, 10, 8, 8
318, ocean, minecraft:frozen_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
319, ocean, minecraft:frozen_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
320, ocean, minecraft:frozen_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
321, ocean, minecraft:frozen_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
322, ocean, minecraft:frozen_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
